missing,gender,ethnicit,race1,race2,race3,race4,race5,race6,race7,eas01,eas02,eas03,eas04,eas05,eas06,eas07,eas08,eas09,eas10,eas11,eas12,eas13,eas14,eas15,eas16,eas17,eas18,eas19,eas20,eas21,eas22,eas23,eas24,eas25,eas26,eas27,eas28,eas29,eas30,eas31,eas32,eas33,eas34,eas35,eas36,eas37,eas38,eas39,eas40,eas41,eas42,eas43,eas44,eas45,eas46,eas47,eas48,eas49,eas50,eas51,eas52,eas53,eas54,eas55,eas56,eas57,eas58,eas59,eas60,eas61,eas62,EAS23REV,EAS30REV,EAS06RV,EAS12RV,EAS18RV,EAS24RV,EAS29RV,EAS37RV,EAS43RV,EAS48RV,EAS53RV,EAS57RV,EAS62RV,bfin01,bfin02,bfin03,bfin04,bfin05,bfin06,bfin07,bfin08,BFINEURO,EABEHAV,EADEVAL,EAPROCRA,EADISTRA,EAREPRES,EATOLERA,EATOLREV,MEAQTOT,MEAQBV
0,1,1,0,0,0,0,1,0,0,6,4,6,3,5,4,4,4,6,6,5,4,6,3,6,2,4,4,3,4,2,6,4,4,4,5,5,2,2,3,4,4,5,2,2,4,4,4,6,5,2,2,3,3,4,2,2,3,2,2,6,2,2,3,5,1,4,2,3,2,3,4,3,4,3,3,3,3,5,3,4,4,5,3,3,3,1,4,5,2,4,1,5,35,50,44,26,39,31,38,39,229,49
0,1,1,0,0,0,0,1,0,0,4,3,5,6,5,5,1,4,4,5,5,5,3,3,4,4,5,4,2,4,5,5,4,4,4,4,4,4,4,3,3,3,5,3,4,5,4,3,4,4,6,4,4,3,5,5,4,3,3,3,4,6,4,3,3,5,4,3,4,3,3,4,3,4,2,2,3,3,3,3,3,4,3,3,3,4,1,4,4,2,4,3,4,32,42,37,32,31,59,45,32,233,60
0,0,1,0,0,0,0,1,0,0,5,5,5,3,4,5,4,1,3,1,3,5,4,2,3,3,3,4,4,4,4,4,5,4,2,3,4,1,5,5,3,5,4,4,1,2,5,4,3,2,1,2,4,4,4,3,2,4,1,1,3,1,4,4,4,2,2,3,4,1,3,5,2,2,2,2,3,3,2,2,3,3,3,5,2,2,3,4,4,4,2,2,2,23,38,45,18,25,24,47,30,180,42
0,1,1,0,0,0,0,1,0,0,4,3,4,3,6,4,2,2,3,2,4,4,3,3,3,3,4,4,3,3,2,4,5,4,1,4,2,1,4,4,4,2,4,2,1,4,6,4,4,3,2,4,4,2,4,3,3,4,1,2,3,3,4,2,4,1,4,1,3,1,2,4,2,3,3,3,3,3,3,1,3,3,3,3,3,2,4,4,3,4,5,4,3,23,36,31,28,23,25,46,31,174,38
0,1,1,0,0,0,0,1,0,0,5,6,3,4,2,6,2,1,3,1,5,5,6,1,4,1,4,4,2,1,1,3,4,6,1,1,1,1,6,4,2,1,1,1,1,5,4,2,3,2,1,1,6,1,1,1,1,5,1,1,1,1,5,1,1,1,6,1,1,1,1,6,3,3,1,2,3,1,1,3,1,2,2,1,1,1,4,4,1,5,1,4,1,13,17,27,21,17,18,59,18,118,19
0,1,1,0,0,0,0,1,0,0,6,6,6,4,5,5,2,6,6,1,6,5,5,2,6,3,2,5,5,5,4,6,5,5,5,4,5,1,5,5,4,5,6,5,5,5,5,5,4,6,4,2,6,5,4,5,4,5,1,1,6,5,5,5,6,1,5,1,6,1,1,6,2,2,2,2,2,2,2,2,1,2,2,2,1,4,4,4,4,5,3,5,2,21,54,50,26,41,37,57,20,228,54
0,1,1,0,0,0,0,1,0,0,6,4,5,1,3,6,3,2,4,1,4,6,5,3,4,4,5,4,5,4,1,4,6,4,1,3,4,1,5,6,4,3,4,5,3,4,5,3,3,5,1,1,5,2,3,4,4,2,2,1,3,2,4,4,3,1,5,4,3,1,6,3,1,1,1,1,3,3,2,2,2,5,3,2,4,1,5,3,3,5,3,5,3,16,36,47,22,30,23,49,28,186,37
0,1,1,0,0,0,0,1,0,0,5,6,5,5,5,6,2,2,6,1,6,2,5,4,2,1,5,5,5,5,5,5,6,2,2,5,2,2,2,2,6,5,2,5,5,5,2,6,5,2,1,5,2,6,5,1,5,2,5,5,5,1,2,5,6,1,2,2,5,5,2,2,1,5,1,5,2,5,5,5,5,5,5,5,5,5,4,4,5,1,4,4,5,32,52,57,36,24,34,29,48,251,55
0,1,1,0,0,0,0,1,0,0,5,1,2,1,5,6,1,1,2,1,1,6,1,1,1,1,1,5,1,1,1,1,6,4,1,1,1,1,6,5,1,1,1,1,1,1,5,1,5,1,1,1,5,1,1,1,1,5,1,1,1,1,6,1,1,1,5,1,1,1,1,6,1,2,1,1,2,3,1,2,2,2,1,2,1,1,5,4,1,5,2,5,2,13,19,13,12,9,13,59,18,84,15
0,1,1,0,0,0,0,1,0,0,2,2,2,3,4,4,1,1,4,2,4,5,4,2,3,4,4,4,2,3,5,5,4,4,2,3,4,1,6,5,2,2,5,2,2,4,5,4,3,3,4,2,5,2,4,3,2,3,1,2,4,4,6,3,2,5,4,2,4,1,2,6,3,2,3,2,3,3,1,2,2,4,1,3,1,2,2,4,4,4,4,2,4,28,30,30,22,26,38,52,25,171,45
0,0,1,0,0,0,0,1,0,0,2,2,3,4,4,5,1,1,2,1,4,4,2,1,2,5,4,2,1,2,3,2,4,5,4,2,2,1,5,4,2,1,3,1,5,4,4,2,1,1,4,1,5,2,5,1,2,2,1,1,3,3,5,1,1,3,5,1,2,1,1,5,3,3,2,3,5,2,2,3,2,5,2,2,2,1,4,3,3,4,3,4,2,18,21,21,22,15,35,47,30,144,36
0,0,0,0,0,0,0,1,0,0,1,3,1,1,1,6,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,4,5,1,1,1,1,1,6,1,1,1,1,6,1,6,3,1,1,1,1,1,1,1,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,1,6,6,2,6,1,6,1,6,6,1,3,4,4,2,5,2,5,1,16,11,17,8,7,25,35,42,110,20
0,0,1,0,0,0,0,1,0,0,5,1,1,2,5,5,1,3,2,1,2,6,5,2,2,1,1,5,5,5,1,5,3,5,1,1,1,1,1,5,4,2,5,1,1,1,5,5,2,3,2,2,5,5,2,3,1,5,1,3,2,2,5,3,2,2,2,1,5,1,1,6,4,2,2,1,2,2,6,2,2,2,2,5,1,3,2,4,4,4,4,4,4,27,31,36,14,19,22,50,27,149,40
0,1,1,0,0,0,0,1,0,0,3,2,4,1,3,5,2,1,3,1,2,5,2,3,2,3,2,3,2,3,2,2,5,4,1,4,3,1,4,5,1,2,2,1,1,2,5,4,5,2,2,2,3,2,3,2,2,4,1,5,4,2,5,2,2,2,5,1,4,1,1,5,2,2,2,2,4,3,3,2,4,3,2,2,2,2,4,4,3,5,2,5,2,17,34,26,15,18,21,48,29,143,37
0,1,1,0,0,0,0,1,0,0,2,3,3,3,3,4,3,2,3,1,2,5,2,2,3,3,2,3,3,3,2,4,4,4,3,2,2,2,3,4,3,2,4,3,2,2,5,3,3,3,3,2,3,3,3,3,2,4,1,2,2,3,4,4,2,2,5,2,2,2,3,5,3,3,3,2,4,3,4,2,4,3,3,2,2,3,5,2, ,4,3,5,2, ,25,37,16,22,30,45,32,162,38
0,1,1,0,0,0,0,1,0,0,3,4,6,6,4,4,3,3,3,1,4,4,4,3,2,1,2,4,4,1,2,2,2,4,2,4,1,1,4,5,3,1,1,2,1,2,3,2,4,1,4,1,5,2,1,3,1,4,1,1,1,6,4,2,1,5,4,1,1,1,1,4,5,2,3,3,3,3,3,4,2,3,3,3,3,4,4,4,2,4,4,3,4,25,23,31,16,16,37,44,33,156,29
0,0,1,0,0,0,0,1,0,0,2,3,3,4,5,5,3,2,4,5,5,4,3,2,3,3,4,3,3,2,3,4,4,5,2,4,3,4,4,4,2,3,4,2,4,4,4,2,3,3,3,3,4,2,3,2,4,4,4,3,2,3,4,4,3,4,4,3,3,4,3,4,3,3,2,3,4,2,3,3,3,3,3,3,3,4,4,4,3,3,2,5,3,22,29,35,28,24,46,45,32,194,45
0,1,1,0,0,0,0,1,0,0,2,3,5,2,4,4,2,2,5,3,5,4,5,4,3,2,2,2,5,4,2,5,4,5,5,5,2,2,5,5,6,2,4,3,2,2,5,3,4,5,2,3,4,3,4,2,2,4,2,2,4,3,4,5,3,2,2,2,2,2,2,4,3,2,3,3,5,2,2,2,3,3,3,5,3,2,4,5,5,2,5,2,4,31,36,46,20,29,29,43,34,194,41
0,1,1,0,0,0,0,1,0,0,5,2,4,3,4,6,2,2,4,1,1,6,3,1,3,1,1,3,4,2,1,2,6,5,3,1,2,1,6,6,4,2,2,1,3,3,5,3,4,2,1,1,5,3,2,1,1,3,1,1,1,1,5,2,1,1,6,2,1,1,2,6,1,1,1,1,4,2,1,2,2,4,2,1,1,1,4,4,2,4,4,4,3,20,22,32,12,19,17,56,21,123,26
0,1,1,0,0,0,0,1,0,0,2,1,1,4,4,6,1,1,1,1,2,6,4,1,4,2,4,6,1,2,6,4,6,6,1,4,1,1,6,5,6,2,2,3,1,4,6,6,4,1,2,2,6,2,2,1,1,6,1,1,1,2,6,1,2,1,6,1,1,1,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,4,4,3,5,5,25,22,30,19,14,24,66,11,120,24
0,1,1,0,0,0,0,1,0,0,3,6,5,5,5,6,1,4,5,4,5,4,4,4,5,2,4,3,5,5,5,4,4,5,3,2,2,1,3,3,5,4,4,2,2,3,5,2,2,3,5,2,2,2,5,3,2,5,1,4,3,5,4,5,4,1,3,1,4,2,2,2,3,4,1,3,4,2,4,2,5,2,3,4,5,4,4,5,5,4,4,2,5,31,40,42,25,28,39,42,35,209,48
0,1,1,0,0,0,0,1,0,0,4,6,6,2,4,4,2,2,6,1,4,5,2,2,6,1,4,2,3,3,1,6,6,6,5,6,5,1,4,4,4,4,6,4,1,5,1,5,3,5,1,2,5,3,5,1,1,3,1,1,4,1,4,6,4,1,4,2,4,1,5,3,1,3,3,2,5,1,3,6,2,4,3,3,4,5,1,5,5,2,4,1,5,38,41,48,23,40,14,41,36,202,49
0,1,1,0,0,0,0,1,0,0,6,3,3,4,1,5,1,1,1,1,1,4,3,1,1,6,1,6,1,1,1,3,5,5,1,1,1,1,1,5,3,1,4,4,1,1,5,3,3,1,3,1,5,3,4,6,1,4,2,1,3,1,5,1,5,2,3,1,4,1,1,5,2,2,2,3,1,2,6,2,2,3,2,4,2,4,1,5,4,3,4,4,4,31,30,26,8,14,31,48,29,138,34
0,1,1,0,0,0,0,1,0,0,2,2,4,4,2,4,1,1,4,1,3,5,2,1,3,3,2,4,2,2,2,4,5,4,1,2,2,1,5,5,3,2,3,2,1,1,6,3,2,3,2,2,4,2,2,4,1,4,1,2,1,2,5,2,1,1,6,1,1,1,1,6,2,2,3,2,3,3,2,1,3,3,2,1,1,1,2,4,4,4,4,4,1,22,17,24,13,23,25,53,24,126,25
0,0,1,0,0,0,0,1,0,0,4,4,4,3,3,5,2,2,4,1,2,5,4,2,3,4,3,4,4,4,1,4,4,4,3,4,4,1,3,4,4,3,4,1,5,3,5,4,4,4,2,2,4,3,4,3,3,4,2,4,3,2,5,4,3,3,4,2,4,1,2,4,3,3,2,2,3,3,4,2,3,3,2,3,3,1,5,2,2,5,2,5,2,12,37,41,19,27,31,47,30,185,47
0,1,1,0,0,0,0,1,0,0,5,4,4,3,4,3,3,2,4,2,3,4,5,4,4,4,3,4,5,4,4,4,4,4,2,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,4,4,3,3,3,3,3,4,3,3,2,4,4,3,4,4,3,3,3,4,3,4,4,4,3,3,1,4,4,4,1,3,2,4,27,39,48,24,28,39,39,38,216,50
0,1,1,0,0,0,0,1,0,0,3,4,4,1,2,5,3,2,5,1,1,6,4,2,5,2,1,1,2,3,1,5,6,5,1,1,4,1,6,5,1,1,1,3,1,1,5,1,1,1,1,1,5,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,5,1,2,2,1,6,2,1,2,2,6,3,6,2,1,4,4,1,5,1,4,1,13,18,25,9,25,14,44,33,124,21
0,1,1,0,0,0,0,1,0,0,5,4,3,4,4,5,1,1,4,2,4,5,5,1,5,1,4,6,4,2,1,4,5,5,3,2,1,1,4,5,3,1,3,2,1,4,5,4,2,2,2,1,5,3,1,4,1,5,1,1,1,2,6,5,2,1,4,2,2,1,5,4,2,2,2,2,1,2,3,2,2,2,1,3,3,4,1,5,3,3,5,4,2,29,20,42,20,22,23,54,23,150,29
0,1,1,0,0,0,0,1,0,0,4,2,5,4,2,5,3,2,5,1,6,4,6,3,4,2,2,4,3,4,3,4,6,6,5,3,2,1,3,4,4,5,3,2,2,3,3,5,4,2,3,3,2,3,2,1,2,4,2,4,3,4,2,5,3,5,2,1,3,2,4,2,1,3,2,3,3,1,4,4,5,3,5,5,5,3,4,4,2,1,5,3,1,25,36,47,21,25,31,37,40,200,49
0,1,1,0,0,0,0,1,0,0,3,2,1,1,4,6,1,1,2,2,5,5,2,1,1,2,3,5,2,1,2,2,5,6,1,2,2,2,6,3,3,3,1,1,2,3,5,4,2,2,3,1,6,1,3,3,4,5,1,2,1,3,4,3,1,1,6,1,1,1,1,5,2,4,1,2,2,1,1,2,1,2,3,1,2,2,4,4,2,4,3,2,1,20,19,24,24,11,25,59,18,121,25
